aff_ord	tu	C_wire	B_wire	extra	C_tok	B_tok	new_regions	new_blocks	deepest
312	312	230	267	0	62	79	0	2	126
313	313	151	268	0	44	82	0	3	159
314	314	132	170	0	39	54	0	0	267
315	315	246	256	0	66	89	0	0	126
316	316	169	318	0	38	67	0	0	159
317	317	136	241	0	41	67	0	1	159
318	318	161	220	0	34	60	0	0	218
319	319	121	206	0	32	57	0	0	218
320	320	118	172	0	31	57	0	0	218
321	321	112	206	0	29	52	0	0	218
322	322	135	226	0	39	64	0	0	218
323	323	188	280	0	60	85	0	2	117
324	324	151	211	0	44	50	0	0	126
325	325	149	232	0	30	45	0	0	218
326	326	118	143	0	31	46	0	0	218
327	327	178	194	0	54	66	0	1	126
328	328	154	160	0	45	51	0	2	267
329	329	181	243	0	57	69	0	1	126
330	330	133	193	0	36	50	0	0	218
331	331	142	215	0	42	56	0	0	218
332	332	142	174	0	41	57	0	0	218
333	333	188	213	0	45	56	0	2	267
334	334	209	305	0	68	87	0	1	117
335	335	197	172	25	49	55	0	0	126
336	336	290	513	0	65	164	0	1	2014
337	337	234	510	0	64	158	0	9	2014
338	338	242	508	0	69	167	0	4	314
339	339	301	640	0	83	218	0	2	326
340	340	355	558	0	114	194	0	7	1667
341	341	116	179	0	19	58	0	1	122
342	342	176	309	0	36	86	0	0	171
343	343	163	220	0	35	74	0	4	185
344	344	84	208	0	20	55	0	0	123
345	345	84	274	0	20	44	0	0	123
346	346	245	695	0	64	145	0	2	340
347	347	938	1399	0	356	568	0	2	1572
348	348	206	300	0	52	84	0	0	2085
349	349	837	1301	0	316	498	0	7	1572
350	350	475	698	0	159	258	0	1	2010
351	351	451	1745	0	115	347	0	7	1326
352	352	667	1139	0	261	502	0	3	1364
353	353	231	335	0	86	107	0	0	1333
354	354	233	372	0	80	126	0	4	1333
355	355	686	846	0	260	349	0	4	1333
356	356	3776	5486	0	1587	2295	0	21	1333
357	357	124	196	0	33	62	0	0	2085
358	358	334	659	0	118	230	0	4	2010
359	359	239	371	0	63	99	0	0	1874
360	360	635	920	0	225	359	0	1	2085
361	361	321	427	0	96	149	0	5	2158
362	362	267	446	0	77	141	0	3	2085
363	363	222	474	0	73	138	0	6	1572
364	364	653	737	0	276	312	0	2	2085
365	365	802	1002	0	317	409	0	3	2085
366	366	523	828	0	157	281	0	4	2010
367	367	1729	2224	0	727	957	0	11	864
368	368	590	807	0	227	301	0	3	1333
369	369	776	935	0	305	386	0	4	1333
370	370	257	276	0	68	95	0	2	3213
371	371	252	420	0	62	116	0	3	2010
372	372	181	268	0	42	71	0	1	1874
373	373	531	599	0	206	245	0	0	3200
374	374	105	155	0	27	46	0	1	1874
375	375	198	306	0	63	81	0	1	1333
376	376	61	87	0	12	21	0	0	3213
377	377	61	118	0	12	20	0	0	3213
378	378	64	124	0	13	23	0	0	3200
379	379	76	102	0	17	27	0	0	3200
380	380	198	240	0	47	60	0	1	1599
381	381	61	127	0	12	17	0	1	3213
382	382	112	122	0	31	36	0	0	3200
383	383	86	72	14	9	16	0	0	3274
384	384	1815	2864	0	754	1117	0	18	2010
385	385	359	425	0	114	143	0	2	3200
386	386	1201	1828	0	487	735	0	4	864
387	387	591	1001	0	216	363	0	4	2010
388	388	276	391	0	75	114	0	1	1333
389	389	947	1554	0	371	569	0	7	1333
390	390	311	577	0	91	171	0	0	2010
391	391	279	415	0	70	116	0	2	862
392	392	449	751	0	139	274	0	2	3000
393	393	380	903	0	136	260	0	4	2010
394	394	237	443	0	62	133	0	5	2010
395	395	386	610	0	111	206	0	7	3000
396	396	516	1006	0	156	359	0	11	354
397	397	228	396	0	54	105	0	2	1333
398	398	906	1227	0	334	465	0	5	1333
399	399	1305	1933	0	499	774	0	11	782
400	400	406	633	0	123	210	0	1	1333
401	401	1393	2062	0	585	773	0	10	1333
402	402	424	582	0	129	196	0	3	1785
403	403	583	958	0	191	318	0	7	1874
404	404	658	936	0	221	335	0	3	1785
405	405	778	1204	0	309	455	0	7	1785
406	406	2059	2890	0	843	1155	0	19	2085
407	407	501	669	0	196	282	0	1	1785
408	408	417	689	0	129	233	0	4	1874
409	409	378	575	0	116	187	0	2	1874
