aff_ord	tu	C_wire	B_wire	extra	C_tok	B_tok	new_regions	new_blocks	deepest
521	521	451	604	0	164	217	0	1	1073
522	522	195	294	0	43	78	0	1	957
523	523	129	151	0	24	32	0	0	2118
524	524	220	291	0	51	81	0	2	1400
525	525	543	819	0	198	295	0	2	1308
526	526	236	320	0	62	81	0	1	1895
527	527	247	431	0	64	125	0	1	935
528	528	185	271	0	39	70	0	1	947
529	529	123	210	0	33	48	0	1	1897
530	530	134	132	2	25	36	0	0	2118
531	531	164	235	0	32	62	0	0	674
532	532	351	450	0	113	155	0	3	2118
533	533	237	387	0	54	98	0	1	807
534	534	307	460	0	95	147	0	2	1308
535	535	244	396	0	67	119	0	2	2118
536	536	153	279	0	32	66	0	0	1045
537	537	198	360	0	48	95	0	0	1045
538	538	97	207	0	24	53	0	0	1045
539	539	149	287	0	42	85	0	1	1045
540	540	170	251	0	37	68	0	1	1045
541	541	115	244	0	30	61	0	1	1045
542	542	181	312	0	43	88	0	3	1045
543	543	85	186	0	20	40	0	2	772
544	544	405	698	0	140	236	0	4	2118
545	545	283	440	0	104	141	0	2	2118
546	546	133	157	0	25	33	0	2	1034
547	547	283	434	0	78	110	0	0	708
548	548	303	587	0	105	189	0	1	1308
549	549	347	432	0	106	143	0	1	1308
550	550	178	379	0	51	96	0	1	708
551	551	209	342	0	50	95	0	2	844
552	552	174	233	0	36	60	0	1	2197
553	553	238	464	0	65	145	0	3	1895
554	554	213	342	0	68	99	0	0	2197
555	555	122	199	0	33	59	0	1	1895
556	556	263	436	0	59	129	0	0	1234
557	557	198	286	0	48	74	0	3	708
558	558	224	319	0	62	87	0	1	1895
559	559	127	163	0	34	48	0	3	708
560	560	137	126	11	23	34	0	0	708
561	561	106	202	0	27	45	0	1	935
562	562	96	155	0	24	33	0	2	636
563	563	269	520	0	74	135	0	1	1045
564	564	158	234	0	33	61	0	1	935
565	565	197	267	0	43	67	0	2	1895
566	566	164	200	0	32	59	0	1	2197
567	567	248	385	0	69	116	0	3	2197
568	568	137	199	0	26	47	0	0	935
569	569	287	518	0	78	129	0	4	708
570	570	217	472	0	72	137	0	1	1234
571	571	155	235	0	32	62	0	0	844
572	572	300	538	0	101	151	0	2	708
573	573	125	179	0	34	38	0	1	2197
574	574	225	292	0	56	77	0	2	935
575	575	164	223	0	32	46	0	3	822
576	576	152	177	0	31	51	0	1	935
577	577	257	359	0	74	106	0	0	1895
578	578	236	264	0	50	75	0	2	822
579	579	359	510	0	108	154	0	2	822
580	580	187	203	0	44	50	0	2	822
581	581	169	259	0	39	66	0	1	844
582	582	125	177	0	22	37	0	0	844
583	583	194	224	0	42	67	0	2	935
584	584	181	265	0	39	74	0	0	593
585	585	267	378	0	83	131	0	0	352
586	586	64	65	0	13	14	0	0	822
587	587	95	167	0	24	34	0	1	2197
588	588	73	153	0	16	29	0	1	844
589	589	251	361	0	65	101	0	3	822
590	590	573	624	0	244	261	0	5	947
591	591	189	338	0	59	103	0	3	1234
592	592	95	103	0	12	15	0	0	1248
593	593	104	147	0	15	27	0	1	844
594	594	233	326	0	52	94	0	2	1234
595	595	167	208	0	36	50	0	2	822
596	596	179	188	0	43	47	0	0	829
597	597	311	464	0	90	142	0	3	829
598	598	432	503	0	143	181	0	2	963
599	599	329	398	0	105	127	0	1	1248
600	600	384	523	0	129	172	0	0	593
601	601	180	240	0	63	70	0	1	822
602	602	465	815	0	160	266	0	1	1288
603	603	198	338	0	47	91	0	1	844
604	604	246	389	0	56	116	0	4	844
605	605	219	375	0	70	115	0	2	1895
606	606	253	376	0	57	106	0	0	1078
607	607	146	221	0	29	69	0	3	774
608	608	148	280	0	41	68	0	0	844
609	609	415	680	0	137	215	0	4	1288
610	610	217	346	0	43	98	0	0	915
611	611	158	286	0	30	75	0	2	790
612	612	200	307	0	44	84	0	2	844
613	613	154	299	0	43	78	0	3	1078
614	614	185	319	0	39	77	0	0	915
615	615	190	276	0	47	71	0	0	844
616	616	378	632	0	120	214	0	3	844
617	617	227	277	0	58	91	0	9	1895
618	618	301	622	0	100	177	0	3	936
619	619	179	384	0	40	87	0	2	822
620	620	249	345	0	57	88	0	2	1296
621	621	170	316	0	37	86	0	0	663
622	622	288	361	0	93	117	0	0	1296
623	623	115	173	0	30	39	0	1	1296
624	624	172	218	0	38	56	0	0	1895
625	625	324	435	0	122	147	0	1	1296
626	626	286	549	0	91	181	0	3	1296
627	627	64	75	0	13	17	0	0	1233
628	628	174	252	0	39	63	0	0	672
629	629	179	206	0	61	69	0	0	1248
630	630	209	435	0	50	109	0	1	1296
631	631	348	426	0	95	130	0	1	1296
632	632	343	424	0	112	145	0	2	1296
633	633	304	407	0	69	113	0	2	1233
634	634	253	404	0	67	118	0	3	2118
635	635	136	204	0	26	49	0	1	1248
636	636	403	663	0	117	196	0	2	2118
637	637	201	316	0	61	85	0	1	803
638	638	142	324	0	39	84	0	1	2118
639	639	368	593	0	103	190	0	6	1248
640	640	332	663	0	110	192	0	5	1248
641	641	177	296	0	51	78	0	0	1248
642	642	313	518	0	85	148	0	9	339
643	643	115	186	0	33	46	0	0	2118
644	644	230	299	0	54	93	0	3	1233
645	645	233	424	0	55	135	0	2	2118
646	646	195	319	0	43	84	0	2	935
647	647	183	295	0	41	82	0	1	935
648	648	296	430	0	89	126	0	0	2118
649	649	155	200	0	29	48	0	1	935
650	650	199	361	0	60	105	0	2	2118
651	651	221	249	0	67	91	0	0	1897
652	652	104	150	0	15	42	0	0	2118
653	653	76	190	0	17	41	0	0	2118
654	654	131	267	0	37	63	0	1	2118
655	655	307	377	0	93	120	0	3	2118
656	656	243	442	0	65	123	0	1	691
657	657	148	204	0	41	60	0	1	2118
658	658	276	360	0	82	100	0	0	2118
659	659	362	876	0	88	268	0	7	1196
660	660	195	303	0	40	85	0	0	935
661	661	155	208	0	32	50	0	1	2118
662	662	202	389	0	67	126	0	0	829
663	663	124	324	0	33	60	0	0	1248
664	664	277	438	0	78	128	0	4	1017
665	665	296	423	0	100	145	0	2	935
666	666	290	399	0	81	123	0	0	2118
667	667	440	590	0	181	215	0	2	935
668	668	273	756	0	62	208	0	1	2118
669	669	100	152	0	25	43	0	0	935
670	670	306	711	0	88	234	0	0	936
671	671	189	279	0	44	71	0	0	935
672	672	198	369	0	48	90	0	2	666
673	673	197	318	0	53	94	0	1	666
674	674	154	571	0	43	169	0	2	2118
675	675	140	171	0	24	38	0	0	1248
676	676	106	177	0	27	40	0	0	1248
677	677	264	579	0	75	195	0	3	2118
678	678	131	172	0	24	35	0	1	935
679	679	288	699	0	82	205	0	7	1248
