row	tu	raw_bytes	payload_wire_bytes	definition_wire_bytes	context_wire_bytes	selector_wire_bytes	wire_bytes	cumulative_raw_bytes	cumulative_charged_bytes	cumulative_charged_ratio	vocabulary_assets	online_promoted_assets	online_published_assets	seed_published_assets	online_selected_tus	candidate_state_bytes	logical_state_bytes
pretrained-seed-online-k2	126	2646392	16518	55	0	1	16574	141392105	335641	421.2599324873898	15828	11352	5772	1484	125	2450860	2975148
pretrained-seed-online-k2	127	1329549	1535	27	0	1	1563	142721654	337204	423.2501808993962	15828	11352	5774	1484	126	2450860	2975148
pretrained-seed-online-k2	128	1108022	710	0	0	1	711	143829676	337915	425.6386250980276	15828	11352	5774	1484	127	2450860	2975148
pretrained-seed-online-k2	129	2099460	3109	106	0	1	3216	145929136	341131	427.7803424490885	15828	11352	5788	1484	128	2450860	2975148
pretrained-seed-online-k2	130	1368541	1201	0	0	1	1202	147297677	342333	430.27600903214125	15828	11352	5788	1484	129	2450860	2975148
pretrained-seed-online-k2	131	1297054	652	0	0	1	653	148594731	342986	433.238473290455	15828	11352	5788	1484	130	2450860	2975148
pretrained-seed-online-k2	132	214310	127	226	0	1	354	148809041	343340	433.41597541795306	15828	11352	5790	1484	131	2450860	2975148
pretrained-seed-online-k2	133	858997	551	289	0	1	841	149668038	344181	434.85270250246236	15828	11352	5812	1484	132	2450860	2975148
pretrained-seed-online-k2	134	221150	238	0	0	1	239	149889188	344420	435.1930433772719	15828	11352	5812	1484	133	2450860	2975148
pretrained-seed-online-k2	135	919338	579	202	0	1	782	150808526	345202	436.8703715505704	15828	11352	5829	1485	134	2450860	2975148
pretrained-seed-online-k2	136	1813167	3372	783	0	1	4156	152621693	349358	436.8633121325403	15828	11352	5924	1537	135	2450860	2975148
pretrained-seed-online-k2	137	1343775	621	450	0	1	1072	153965468	350430	439.36155009559684	15828	11352	5959	1537	136	2450860	2975148
pretrained-seed-online-k2	138	840989	187	150	0	1	338	154806457	350768	441.33574613419694	15828	11352	5975	1537	137	2450860	2975148
pretrained-seed-online-k2	139	1361166	451	382	0	1	834	156167623	351602	444.16022377574643	15828	11352	6025	1538	138	2450860	2975148
pretrained-seed-online-k2	140	1065261	446	85	0	1	532	157232884	352134	446.51434965098514	15828	11352	6032	1538	139	2450860	2975148
pretrained-seed-online-k2	141	1155669	635	101	0	1	737	158388553	352871	448.8568145299557	15828	11352	6042	1538	140	2450860	2975148
pretrained-seed-online-k2	142	1254613	603	437	0	1	1041	159643166	353912	451.0815287416081	15828	11352	6080	1538	141	2450860	2975148
pretrained-seed-online-k2	143	2156016	1837	172	0	1	2010	161799182	355922	454.591685818803	15828	11352	6106	1538	142	2450860	2975148
pretrained-seed-online-k2	144	630003	339	199	0	1	539	162429185	356461	455.67168638364365	15828	11352	6128	1538	143	2450860	2975148
pretrained-seed-online-k2	145	1446429	315	121	0	1	437	163875614	356898	459.1665237686958	15828	11352	6131	1538	144	2450860	2975148
pretrained-seed-online-k2	146	1543572	420	222	0	1	643	165419186	357541	462.65794971765473	15828	11352	6144	1538	145	2450860	2975148
pretrained-seed-online-k2	147	210007	168	73	0	1	242	165629193	357783	462.9319811170458	15828	11352	6150	1538	146	2450860	2975148
pretrained-seed-online-k2	148	1341834	562	76	0	1	639	166971027	358422	465.85038585801095	15828	11352	6155	1538	147	2450860	2975148
