tu_index	raw_this_tu	raw_cumulative	z19_this_tu	z19_cumulative	cold0_this_tu	cold0_cumulative	test_this_tu	test_cumulative	saving_vs_z19_cumulative	saving_vs_cold0_cumulative	exact	state_bytes
255	5725842	1525241597	0	0	18109	7104222	17223	7171983	-7171983	-67761	1	78508790
256	6269938	1531511535	0	0	9845	7114067	9756	7181739	-7181739	-67672	1	78574112
257	5577825	1537089360	0	0	6675	7120742	6339	7188078	-7188078	-67336	1	78616716
258	2212747	1539302107	0	0	1679	7122421	1733	7189811	-7189811	-67390	1	78623658
259	4893837	1544195944	0	0	1393	7123814	1480	7191291	-7191291	-67477	1	78629028
260	4221827	1548417771	0	0	571	7124385	563	7191854	-7191854	-67469	1	78630753
261	4202631	1552620402	0	0	1135	7125520	1170	7193024	-7193024	-67504	1	78634590
262	5509116	1558129518	0	0	4975	7130495	5019	7198043	-7198043	-67548	1	78666939
263	5142816	1563272334	0	0	3715	7134210	3686	7201729	-7201729	-67519	1	78687741
264	6237433	1569509767	0	0	6400	7140610	6641	7208370	-7208370	-67760	1	78719281
265	5407919	1574917686	0	0	5852	7146462	5957	7214327	-7214327	-67865	1	78758636
266	2718865	1577636551	0	0	477	7146939	489	7214816	-7214816	-67877	1	78759589
267	5499008	1583135559	0	0	1019	7147958	1019	7215835	-7215835	-67877	1	78762784
268	5742200	1588877759	0	0	8135	7156093	7844	7223679	-7223679	-67586	1	78807189
269	4308894	1593186653	0	0	786	7156879	752	7224431	-7224431	-67552	1	78809654
270	5682407	1598869060	0	0	784	7157663	781	7225212	-7225212	-67549	1	78812570
271	6022073	1604891133	0	0	18235	7175898	18178	7243390	-7243390	-67492	1	78942429
272	5889303	1610780436	0	0	9666	7185564	9358	7252748	-7252748	-67184	1	78994853
273	6351358	1617131794	0	0	13203	7198767	12724	7265472	-7265472	-66705	1	79090845
274	6750923	1623882717	0	0	72247	7271014	69981	7335453	-7335453	-64439	1	79550278
275	5875918	1629758635	0	0	1313	7272327	1357	7336810	-7336810	-64483	1	79556932
276	2789085	1632547720	0	0	2154	7274481	2362	7339172	-7339172	-64691	1	79566842
277	5859235	1638406955	0	0	3374	7277855	3412	7342584	-7342584	-64729	1	79584409
278	5866459	1644273414	0	0	4046	7281901	4104	7346688	-7346688	-64787	1	79604863
279	5006992	1649280406	0	0	3630	7285531	3762	7350450	-7350450	-64919	1	79625342
280	5860687	1655141093	0	0	2552	7288083	2458	7352908	-7352908	-64825	1	79639349
281	4832290	1659973383	0	0	1139	7289222	1186	7354094	-7354094	-64872	1	79643649
282	5131116	1665104499	0	0	6144	7295366	6153	7360247	-7360247	-64881	1	79676014
283	4272839	1669377338	0	0	810	7296176	803	7361050	-7361050	-64874	1	79678569
284	1593418	1670970756	0	0	802	7296978	769	7361819	-7361819	-64841	1	79681952
285	6404182	1677374938	0	0	24714	7321692	24010	7385829	-7385829	-64137	1	79871461
286	2359328	1679734266	0	0	1886	7323578	1896	7387725	-7387725	-64147	1	79881261
287	5877092	1685611358	0	0	1471	7325049	1391	7389116	-7389116	-64067	1	79888822
288	5731690	1691343048	0	0	8121	7333170	7966	7397082	-7397082	-63912	1	79942797
289	2952687	1694295735	0	0	2974	7336144	3006	7400088	-7400088	-63944	1	79960766
290	5571918	1699867653	0	0	8856	7345000	8350	7408438	-7408438	-63438	1	80019125
291	2946205	1702813858	0	0	1916	7346916	1979	7410417	-7410417	-63501	1	80029724
292	4983342	1707797200	0	0	7301	7354217	7306	7417723	-7417723	-63506	1	80076895
293	4888356	1712685556	0	0	7286	7361503	7618	7425341	-7425341	-63838	1	80112259
294	5549485	1718235041	0	0	2295	7363798	2324	7427665	-7427665	-63867	1	80124180
