logical	physical	worker	raw	wire	latency_ns	cumulative_raw	cumulative_wire	b_root	b_need	b_fill	b_control	b_carry	split_ok	c_root	c_block	c_path	c_region_control	c_raw_run	c_array_control	c_array_values	missing_regions
204	204	4	5268727	47452	9003137	743099112	14490339	13145	521	33759	27	0	1	158	12977	444	6378	26915	1	1	244
205	205	5	3982502	12267	4984532	747081614	14502606	3574	140	8526	27	0	1	177	3387	365	1272	6868	1	1	50
206	206	6	4195997	34021	6631820	751277611	14536627	10135	342	23517	27	0	1	204	9921	378	4938	18179	1	1	148
207	207	7	4582935	29215	6441851	755860546	14565842	4099	403	24686	27	0	1	212	3877	395	6524	17745	1	1	167
208	208	0	5334740	34170	7438139	761195286	14600012	13031	277	20835	27	0	1	163	12858	387	4006	16420	1	1	114
209	209	1	4315671	13627	5520502	765510957	14613639	6819	153	6628	27	0	1	180	6629	383	1127	5097	1	1	59
210	210	2	3702869	11134	5447382	769213826	14624773	5542	148	5417	27	0	1	130	5402	348	1753	3295	1	1	55
211	211	3	4337756	14666	5618022	773551582	14639439	10887	100	3652	27	0	1	73	10805	349	721	2561	1	1	30
212	212	4	3960306	7425	5047002	777511888	14646864	3874	119	3405	27	0	1	119	3746	362	811	2211	1	1	41
213	213	5	4585437	33593	9921875	782097325	14680457	11905	395	21266	27	0	1	408	11487	389	4137	16718	1	1	182
214	214	6	4801319	88815	10848284	786898644	14769272	11993	678	76117	27	0	1	304	11679	436	10868	64791	1	1	344
215	215	7	3966339	25100	6381571	790864983	14794372	6765	333	17975	27	0	1	104	6652	415	3511	14028	1	1	143
216	216	0	5927127	56581	10462224	796792110	14850953	9687	593	46274	27	0	1	188	9489	425	10344	35483	1	1	283
217	217	1	5807979	36957	8053138	802600089	14887910	13925	418	22587	27	0	1	166	13749	434	6582	15550	1	1	198
218	218	2	3325029	11980	4884013	805925118	14899890	7435	92	4426	27	0	1	93	7333	427	688	3290	1	1	29
219	219	3	3926663	14001	5954271	809851781	14913891	3156	240	10578	27	0	1	235	2911	460	1733	8364	1	1	103
220	220	4	5514995	17958	7025719	815366776	14931849	13718	175	4038	27	0	1	123	13586	436	1658	1923	1	1	63
221	221	5	5063745	95138	19790331	820430521	15026987	12863	1010	81238	27	0	1	144	12709	384	14956	65876	1	1	515
222	222	6	3389531	15241	3858724	823820052	15042228	8935	112	6167	27	0	1	87	8839	358	1330	4458	1	1	39
223	223	7	3970700	9820	5563832	827790752	15052048	5304	128	4361	27	0	1	163	5131	357	877	3106	1	1	51
224	224	0	3304528	5555	4869662	831095280	15057603	3806	76	1646	27	0	1	78	3719	363	415	847	1	1	26
225	225	1	4952868	52434	9467056	836048148	15110037	12086	617	39704	27	0	1	238	11838	356	7469	31857	1	1	305
226	226	2	5004357	50862	10212485	841052505	15160899	8599	720	41516	27	0	1	321	8268	345	8894	32255	1	1	363
227	227	3	3999060	31780	6904769	845051565	15192679	4736	308	26709	27	0	1	78	4649	309	4877	21501	1	1	127
228	228	4	2159102	6317	2854965	847210667	15198996	4983	34	1273	27	0	1	34	4940	309	165	778	1	1	8
229	229	5	2069876	17103	4337554	849280543	15216099	817	250	16009	27	0	1	178	629	352	2964	12672	1	1	99
