tu	raw	cumulative_raw	fastintern_wire	fastintern_cum_wire	grz2_cum_wire	grz2_group	grz2_group_closes	fastintern_ratio	grz2_ratio	grz2_fine_cum_wire
233	6308301	1407877350	278003	61930112	2794064	1	0	22.73	503.88	3599605
234	6423339	1414300689	308897	62239009	2794064	1	0	22.72	506.18	3599605
235	6289339	1420590028	275169	62514178	2794064	1	0	22.72	508.43	3599605
236	6370757	1426960785	288382	62802560	2794064	1	0	22.72	510.71	3599605
237	6419795	1433380580	304876	63107436	2794064	1	0	22.71	513.01	3599605
238	2952807	1436333387	139591	63247027	2794064	1	0	22.71	514.07	3599605
239	6371734	1442705121	291767	63538794	2794064	1	0	22.71	516.35	3670608
240	6236710	1448941831	276219	63815013	2794064	1	0	22.71	518.58	3670608
241	5724973	1454666804	250019	64065032	2794064	1	0	22.71	520.63	3670608
242	6289383	1460956187	288682	64353714	2794064	1	0	22.70	522.88	3670608
243	6315831	1467272018	289276	64642990	2794064	1	0	22.70	525.14	3670608
244	5358455	1472630473	232085	64875075	2794064	1	0	22.70	527.06	3670608
245	6313380	1478943853	287387	65162462	2794064	1	0	22.70	529.32	3670608
246	5684855	1484628708	245536	65407998	2794064	1	0	22.70	531.35	3670608
247	6305975	1490934683	281753	65689751	2794064	1	0	22.70	533.61	3735269
248	5942997	1496877680	261498	65951249	2794064	1	0	22.70	535.73	3735269
249	6347254	1503224934	296707	66247956	2794064	1	0	22.69	538.01	3735269
250	5167965	1508392899	225602	66473558	2794064	1	0	22.69	539.86	3735269
251	1420098	1509812997	69599	66543157	2794064	1	0	22.69	540.36	3735269
252	5495882	1515308879	241119	66784276	2794064	1	0	22.69	542.33	3735269
253	1421506	1516730385	70373	66854649	2794064	1	0	22.69	542.84	3735269
254	2785370	1519515755	132333	66986982	2794064	1	0	22.68	543.84	3735269
255	5725842	1525241597	265283	67252265	2794064	1	0	22.68	545.89	3778174
256	6269938	1531511535	282012	67534277	2794064	1	0	22.68	548.13	3778174
257	5577825	1537089360	246684	67780961	2794064	1	0	22.68	550.13	3778174
258	2212747	1539302107	103862	67884823	2794064	1	0	22.68	550.92	3778174
259	4893837	1544195944	208674	68093497	2794064	1	0	22.68	552.67	3778174
260	4221827	1548417771	172392	68265889	2794064	1	0	22.68	554.18	3778174
261	4202631	1552620402	173907	68439796	2794064	1	0	22.69	555.69	3778174
262	5509116	1558129518	242443	68682239	2794064	1	0	22.69	557.66	3778174
263	5142816	1563272334	224022	68906261	2794064	1	0	22.69	559.50	3802797
264	6237433	1569509767	279940	69186201	2794064	1	0	22.69	561.73	3802797
265	5407919	1574917686	238482	69424683	2794064	1	0	22.69	563.67	3802797
266	2718865	1577636551	129402	69554085	2794064	1	0	22.68	564.64	3802797
267	5499008	1583135559	236485	69790570	2794064	1	0	22.68	566.61	3802797
268	5742200	1588877759	257284	70047854	2794064	1	0	22.68	568.66	3802797
269	4308894	1593186653	177851	70225705	2794064	1	0	22.69	570.20	3802797
270	5682407	1598869060	243175	70468880	3263505	2	1	22.69	489.92	3802797
271	6022073	1604891133	275286	70744166	3263505	2	0	22.69	491.77	3854666
272	5889303	1610780436	267525	71011691	3263505	2	0	22.68	493.57	3854666
273	6351358	1617131794	287104	71298795	3263505	2	0	22.68	495.52	3854666
274	6750923	1623882717	368953	71667748	3263505	2	0	22.66	497.59	3854666
275	5875918	1629758635	254376	71922124	3263505	2	0	22.66	499.39	3854666
276	2789085	1632547720	131420	72053544	3263505	2	0	22.66	500.24	3854666
277	5859235	1638406955	256552	72310096	3263505	2	0	22.66	502.04	3854666
278	5866459	1644273414	258495	72568591	3263505	2	0	22.66	503.84	3854666
279	5006992	1649280406	216152	72784743	3263505	2	0	22.66	505.37	3928308
280	5860687	1655141093	255029	73039772	3263505	2	0	22.66	507.17	3928308
281	4832290	1659973383	204198	73243970	3263505	2	0	22.66	508.65	3928308
282	5131116	1665104499	225983	73469953	3263505	2	0	22.66	510.22	3928308
283	4272839	1669377338	176152	73646105	3263505	2	0	22.67	511.53	3928308
284	1593418	1670970756	80857	73726962	3263505	2	0	22.66	512.02	3928308
285	6404182	1677374938	297202	74024164	3263505	2	0	22.66	513.98	3928308
286	2359328	1679734266	109382	74133546	3263505	2	0	22.66	514.70	3928308
287	5877092	1685611358	254956	74388502	3263505	2	0	22.66	516.50	3960482
288	5731690	1691343048	255974	74644476	3263505	2	0	22.66	518.26	3960482
289	2952687	1694295735	142011	74786487	3263505	2	0	22.66	519.16	3960482
290	5571918	1699867653	247309	75033796	3263505	2	0	22.65	520.87	3960482
291	2946205	1702813858	140076	75173872	3263505	2	0	22.65	521.77	3960482
292	4983342	1707797200	217153	75391025	3263505	2	0	22.65	523.30	3960482
293	4888356	1712685556	212170	75603195	3263505	2	0	22.65	524.80	3960482
294	5549485	1718235041	238343	75841538	3263505	2	0	22.66	526.50	3960482
295	4790233	1723025274	202572	76044110	3263505	2	0	22.66	527.97	4008431
296	2959091	1725984365	140967	76185077	3263505	2	0	22.66	528.87	4008431
297	4953678	1730938043	217837	76402914	3263505	2	0	22.66	530.39	4008431
298	2762454	1733700497	132675	76535589	3263505	2	0	22.65	531.24	4008431
299	4868556	1738569053	216273	76751862	3263505	2	0	22.65	532.73	4008431
300	3903419	1742472472	190301	76942163	3263505	2	0	22.65	533.93	4008431
301	4135360	1746607832	172545	77114708	3263505	2	0	22.65	535.19	4008431
302	5882551	1752490383	259573	77374281	3263505	2	0	22.65	537.00	4008431
303	5443859	1757934242	238397	77612678	3263505	2	0	22.65	538.66	4091219
304	5008871	1762943113	220128	77832806	3263505	2	0	22.65	540.20	4091219
305	5871764	1768814877	256819	78089625	3263505	2	0	22.65	542.00	4091219
306	4777291	1773592168	202607	78292232	3263505	2	0	22.65	543.46	4091219
307	5146678	1778738846	226884	78519116	3263505	2	0	22.65	545.04	4091219
308	4879129	1783617975	208612	78727728	3263505	2	0	22.66	546.53	4091219
309	4776027	1788394002	202290	78930018	3263505	2	0	22.66	548.00	4091219
310	4890409	1793284411	210448	79140466	3263505	2	0	22.66	549.50	4091219
311	6223350	1799507761	273844	79414310	3263505	2	0	22.66	551.40	4111754
312	5464646	1804972407	242849	79657159	3263505	2	0	22.66	553.08	4111754
313	3060566	1808032973	146560	79803719	3263505	2	0	22.66	554.02	4111754
314	2764159	1810797132	128844	79932563	3263505	2	0	22.65	554.86	4111754
315	2688594	1813485726	126645	80059208	3263505	2	0	22.65	555.69	4111754
316	2746662	1816232388	130099	80189307	3263505	2	0	22.65	556.53	4111754
317	4419842	1820652230	183341	80372648	3263505	2	0	22.65	557.88	4111754
318	3699041	1824351271	171393	80544041	3263505	2	0	22.65	559.02	4111754
319	1813053	1826164324	85082	80629123	3263505	2	0	22.65	559.57	4134647
320	2995534	1829159858	140117	80769240	3263505	2	0	22.65	560.49	4134647
321	2495289	1831655147	118450	80887690	3263505	2	0	22.64	561.25	4134647
322	5674993	1837330140	252694	81140384	3263505	2	0	22.64	562.99	4134647
323	5650380	1842980520	246426	81386810	3263505	2	0	22.64	564.72	4134647
324	5702369	1848682889	249031	81635841	3263505	2	0	22.65	566.47	4134647
325	5621402	1854304291	245633	81881474	3263505	2	0	22.65	568.19	4134647
326	5620265	1859924556	244339	82125813	3263505	2	0	22.65	569.92	4134647
327	6211341	1866135897	270141	82395954	3263505	2	0	22.65	571.82	4162440
328	2648101	1868783998	122553	82518507	3263505	2	0	22.65	572.63	4162440
329	2321525	1871105523	107571	82626078	3263505	2	0	22.65	573.34	4162440
330	6207217	1877312740	268770	82894848	3263505	2	0	22.65	575.24	4162440
331	4670967	1881983707	197219	83092067	3263505	2	0	22.65	576.68	4162440
332	4224254	1886207961	174844	83266911	3263505	2	0	22.65	577.97	4162440
333	4362291	1890570252	180398	83447309	3263505	2	0	22.66	579.31	4162440
334	1507401	1892077653	73406	83520715	3263505	2	0	22.65	579.77	4162440
335	6211421	1898289074	270416	83791131	3263505	2	0	22.66	581.67	4178587
336	4829618	1903118692	214112	84005243	3263505	2	0	22.65	583.15	4178587
337	2139548	1905258240	100509	84105752	3263505	2	0	22.65	583.81	4178587
338	2298065	1907556305	110707	84216459	3263505	2	0	22.65	584.51	4178587
339	2741338	1910297643	130846	84347305	3263505	2	0	22.65	585.35	4178587
340	2736492	1913034135	129782	84477087	3263505	2	0	22.65	586.19	4178587
341	5303631	1918337766	234381	84711468	3263505	2	0	22.65	587.82	4178587
342	3083825	1921421591	154676	84866144	3263505	2	0	22.64	588.76	4178587
343	2860187	1924281778	136671	85002815	3263505	2	0	22.64	589.64	4206090
344	3114655	1927396433	160683	85163498	3263505	2	0	22.63	590.59	4206090
345	2037831	1929434264	95432	85258930	3263505	2	0	22.63	591.22	4206090
346	4946016	1934380280	214590	85473520	3263505	2	0	22.63	592.73	4206090
347	5200656	1939580936	236670	85710190	3263505	2	0	22.63	594.32	4206090
348	5504773	1945085709	243528	85953718	3263505	2	0	22.63	596.01	4206090
349	911058	1945996767	44640	85998358	3263505	2	0	22.63	596.29	4206090
350	1956468	1947953235	95864	86094222	3263505	2	0	22.63	596.89	4206090
351	1197	1947954432	275	86094497	3263505	2	0	22.63	596.89	4255689
352	5455640	1953410072	234835	86329332	3263505	2	0	22.63	598.56	4255689
353	5519290	1958929362	237448	86566780	3263505	2	0	22.63	600.25	4255689
354	6340656	1965270018	307780	86874560	3263505	2	0	22.62	602.20	4255689
355	6226758	1971496776	277795	87152355	3263505	2	0	22.62	604.10	4255689
356	5580656	1977077432	249283	87401638	3263505	2	0	22.62	605.81	4255689
357	6474307	1983551739	322162	87723800	3263505	2	0	22.61	607.80	4255689
358	4648116	1988199855	199343	87923143	3263505	2	0	22.61	609.22	4255689
359	5501545	1993701400	235882	88159025	3263505	2	0	22.61	610.91	4337650
360	5278883	1998980283	234790	88393815	3263505	2	0	22.61	612.53	4337650
361	5503699	2004483982	237164	88630979	3263505	2	0	22.62	614.21	4337650
362	4556472	2009040454	192539	88823518	3263505	2	0	22.62	615.61	4337650
363	2789037	2011829491	132088	88955606	3263505	2	0	22.62	616.46	4337650
