tu	raw	wire	cumulative_raw	cumulative_wire	keys	missing	occurrences	body_bytes
430	1352808	69618	1307390807	64146909	18750	533	51237	109518
431	3317796	147239	1310708603	64294148	46630	164	120963	252012
432	1476383	69120	1312184986	64363268	20512	30	55948	102400
433	2865322	129138	1315050308	64492406	41364	65	107141	211335
434	1727666	82366	1316777974	64574772	24208	75	65161	123396
435	1440430	67152	1318218404	64641924	20104	10	54801	98978
436	2632219	119991	1320850623	64761915	37251	159	97080	198065
437	3982361	186712	1324832984	64948627	55879	578	143197	325744
438	2426594	109532	1327259578	65058159	34476	75	89555	179635
439	2816462	129559	1330076040	65187718	40943	187	105392	213462
440	3375298	162099	1333451338	65349817	47585	647	122945	280316
441	2405530	107659	1335856868	65457476	33308	102	88425	176061
442	3944298	209501	1339801166	65666977	57705	1842	184131	480537
443	2786400	124847	1342587566	65791824	39655	65	103966	203416
444	4164868	229333	1346752434	66021157	57579	2877	178161	470561
445	2619987	118371	1349372421	66139528	37419	82	98363	193538
446	4019312	226529	1353391733	66366057	55301	3375	171134	525553
447	4780990	276404	1358172723	66642461	70610	4259	195636	616939
448	3805707	174381	1361978430	66816842	52220	492	164714	329288
449	1885659	85308	1363864089	66902150	26408	43	70922	133531
450	2740554	123376	1366604643	67025526	39225	77	102245	204055
451	2615669	119534	1369220312	67145060	37918	62	98764	197490
452	3658505	168787	1372878817	67313847	49995	594	129174	290592
453	3004880	138105	1375883697	67451952	42440	385	110584	235365
454	3154309	156663	1379038006	67608615	44168	1013	115546	280923
455	2596948	117792	1381634954	67726407	37001	116	97590	191956
456	4002137	199408	1385637091	67925815	54842	1731	170439	414067
457	3722629	168004	1389359720	68093819	51037	159	132656	274958
458	4297085	225470	1393656805	68319289	58575	2735	148451	476763
459	2566935	120307	1396223740	68439596	37048	260	96785	198125
460	2925664	140123	1399149404	68579719	42156	555	108712	241022
461	4140711	209211	1403290115	68788930	57106	1862	176898	441051
462	3871686	194744	1407161801	68983674	53227	1755	165785	414951
463	3651136	162451	1410812937	69146125	49612	96	129959	262855
464	3604916	164998	1414417853	69311123	49384	456	157525	312547
465	1972712	89992	1416390565	69401115	27850	48	74212	143892
466	4138896	184581	1420529461	69585696	56142	316	145466	315549
467	2680834	120696	1423210295	69706392	38649	40	101159	199414
468	4072106	190945	1427282401	69897337	55918	777	173640	368897
469	3258307	146785	1430540708	70044122	45578	147	147056	269360
470	3388630	170178	1433929338	70214300	47974	809	125170	293794
471	3203072	138419	1437132410	70352719	44087	81	114398	228642
472	3363309	147463	1440495719	70500182	47088	89	120913	243162
473	3170438	140748	1443666157	70640930	44868	92	116901	233704
474	3377699	143262	1447043856	70784192	45721	103	119465	240343
475	3592407	167278	1450636263	70951470	49120	649	127193	286586
476	1738816	81934	1452375079	71033404	24322	20	65659	122179
477	3729929	169044	1456105008	71202448	51453	367	161714	311731
478	354559	16663	1456459567	71219111	5394	10	14457	24702
479	3691577	165729	1460151144	71384840	50925	191	160382	298952
480	3700806	175032	1463851950	71559872	50389	874	131466	314763
481	4076763	209352	1467928713	71769224	56225	2190	173559	440537
