row	tu	raw_bytes	payload_wire_bytes	definition_wire_bytes	context_wire_bytes	selector_wire_bytes	wire_bytes	cumulative_raw_bytes	cumulative_charged_bytes	cumulative_charged_ratio	vocabulary_assets	online_promoted_assets	online_published_assets	seed_published_assets	online_selected_tus	candidate_state_bytes	logical_state_bytes
empty-online-k2	12	858997	3048	678	0	1	3727	12642423	95325	132.6244217151849	3123	3123	292	0	2	287639	358886
empty-online-k2	13	221150	739	96	0	1	836	12863573	96161	133.7712066222273	3251	3251	304	0	3	316344	389303
empty-online-k2	14	919338	2307	723	0	1	3031	13782911	99192	138.95184087426406	3555	3555	542	0	4	442346	523494
empty-online-k2	15	1813167	22045	609	0	1	22655	15596078	121847	127.9972260293647	3853	3853	769	0	5	525080	614418
empty-online-k2	16	1343775	7885	587	0	1	8473	16939853	130320	129.98659453652547	4088	4088	931	0	6	721378	818907
empty-online-k2	17	840989	641	337	0	1	979	17780842	131299	135.42252416240794	4124	4124	987	0	7	813006	911247
empty-online-k2	18	1361166	6703	543	0	1	7247	19142008	138546	138.16355578652576	4399	4399	1128	0	8	932956	1039388
empty-online-k2	19	1065261	4267	263	0	1	4531	20207269	143077	141.23352460563194	4548	4548	1180	0	9	989992	1104613
empty-online-k2	20	1155706	3938	598	0	1	4537	21362975	147614	144.72187597382361	4754	4754	1377	0	10	1040370	1163181
empty-online-k2	21	1254613	4264	380	0	1	4645	22617588	152259	148.54680511496858	5122	5122	1441	0	11	1150020	1281019
empty-online-k2	22	2156053	19841	698	0	1	20540	24773641	172799	143.36680767828517	5432	5432	1667	0	12	1318628	1457817
empty-online-k2	23	630003	692	183	0	1	876	25403644	173675	146.27116165251186	5617	5617	1706	0	13	1335565	1482943
empty-online-k2	24	1446429	7030	428	0	1	7459	26850073	181134	148.233203043051	5828	5828	1831	0	14	1429746	1585315
empty-online-k2	25	1543572	4726	364	0	1	5091	28393645	186225	152.46956638474964	6247	6247	1888	0	15	1517812	1681572
empty-online-k2	26	210007	345	104	0	1	450	28603652	186675	153.2270095085041	6286	6286	1899	0	16	1530835	1695730
empty-online-k2	27	1341834	4966	481	0	1	5448	29945486	192123	155.86622111876247	6455	6455	1971	0	17	1626989	1800073
empty-online-k2	28	11192	171	0	0	1	172	29956678	192295	155.7850074104891	6475	6475	1971	0	18	1621474	1795674
empty-online-k2	29	746326	806	217	0	1	1024	30703004	193319	158.82041599635835	6601	6601	2009	0	19	1585972	1768362
empty-online-k2	30	802893	899	254	0	1	1154	31505897	194473	162.00653561162733	6761	6761	2048	0	20	1659266	1847232
empty-online-k2	31	102214	324	76	0	1	401	31608111	194874	162.19768157886634	6777	6777	2055	0	21	1665028	1853390
empty-online-k2	32	1150341	1279	247	0	1	1527	32758452	196401	166.79371286296913	6952	6952	2100	0	22	1627963	1824516
empty-online-k2	33	1697061	11494	354	0	1	11849	34455513	208250	165.45264345738295	7164	7164	2149	0	23	1817119	2021860
empty-online-k2	34	811031	660	259	0	1	920	35266544	209170	168.60230434574748	7346	7346	2185	0	24	1847990	2060769
empty-online-k2	35	846319	693	269	0	1	963	36112863	210133	171.85717141048764	7429	7429	2231	0	25	1850004	2067866
empty-online-k2	36	851146	502	305	0	1	808	36964009	210941	175.23387582309746	7568	7568	2287	0	26	1852101	2078154
empty-online-k2	37	724853	297	395	0	1	693	37688862	211634	178.0850997476776	7684	7684	2324	0	27	1850882	2085115
