logical	physical	worker	raw	wire	latency_ns	cumulative_raw	cumulative_wire	b_root	b_need	b_fill	b_control	b_carry	split_ok	c_root	c_block	c_path	c_region_control	c_raw_run	c_array_control	c_array_values	missing_regions	cf_root	cf_fill	cf_control	cf_total	fc_need	fc_control	fc_total	dir_ok
152	152	2	2002292	15523	3233039	521556215	28323771	4751	178	10567	27	0	1	84	4658	1735	1940	6872	1	1	71	4751	10567	7	15325	178	20	198	1
153	153	3	3593725	128765	13435392	525149940	28452536	8818	1620	118300	27	0	1	353	8455	1842	29926	86510	1	1	871	8818	118300	7	127125	1620	20	1640	1
154	154	4	3270700	90973	9183480	528420640	28543509	7972	1081	81893	27	0	1	140	7822	1807	22045	58018	1	1	566	7972	81893	7	89872	1081	20	1101	1
155	155	5	3103667	43573	5678903	531524307	28587082	7461	537	35548	27	0	1	87	7365	1794	7940	25792	1	1	254	7461	35548	7	43016	537	20	557	1
156	156	6	2318918	30974	4906768	533843225	28618056	5528	418	25001	27	0	1	55	5464	1787	5612	17580	1	1	202	5528	25001	7	30536	418	20	438	1
157	157	7	2324434	26728	4842739	536167659	28644784	5607	270	20824	27	0	1	58	5540	1717	3429	15657	1	1	115	5607	20824	7	26438	270	20	290	1
158	158	8	2859562	30071	4629509	539027221	28674855	7033	323	22688	27	0	1	157	6866	1706	4234	16726	1	1	142	7033	22688	7	29728	323	20	343	1
159	159	9	2745201	37197	5121316	541772422	28712052	6720	403	30047	27	0	1	79	6632	1675	5915	22435	1	1	187	6720	30047	7	36774	403	20	423	1
160	160	10	5268437	310976	33270532	547040859	29023028	13036	3830	294083	27	0	1	3513	9513	2467	48982	242611	1	1	1909	13036	294083	7	307126	3830	20	3850	1
161	161	11	3901021	173048	16416022	550941880	29196076	6074	2460	164487	27	0	1	216	5848	2483	32678	129303	1	1	1231	6074	164487	7	170568	2460	20	2480	1
162	162	12	5648896	313265	31284425	556590776	29509341	9452	3720	300066	27	0	1	352	9090	2481	50705	246857	1	1	1853	9452	300066	7	309525	3720	20	3740	1
163	163	13	4647203	118982	13545751	561237979	29628323	11051	1594	106310	27	0	1	424	10617	2332	23720	80235	1	1	873	11051	106310	7	117368	1594	20	1614	1
164	164	14	5384109	356046	34792392	566622088	29984369	13416	4129	338474	27	0	1	407	12999	2339	59818	276294	1	1	2044	13416	338474	7	351897	4129	20	4149	1
